CODREG;REG;NBARR;NBCAN;NBCOM;PMUN;PTOT
84;Auvergne-Rhône-Alpes;39;242;4030;7994459;8167945
27;Bourgogne-Franche-Comté;24;152;3702;2807807;2881889
53;Bretagne;15;102;1208;3335414;3425074
24;Centre-Val de Loire;20;102;1757;2572853;2631697
94;Corse;5;26;360;338554;343726
44;Grand Est;38;200;5121;5550389;5658527
01;Guadeloupe;2;21;32;387629;393401
03;Guyane;2;;22;276128;278472
32;Hauts-de-France;26;145;3789;6004108;6096682
11;Île-de-France;25;155;1268;12213447;12328447
04;La Réunion;4;25;24;855961;865507
02;Martinique;4;;34;368783;373762
28;Normandie;17;131;2652;3327477;3400150
75;Nouvelle-Aquitaine;41;258;4314;5979778;6117956
76;Occitanie;36;249;4454;5885496;6009622
52;Pays de la Loire;16;107;1238;3781423;3871617
93;Provence-Alpes-Côte d'Azur;18;126;946;5052832;5128856
06;Mayotte;;;;256518;
